lr-SGD,step,loss_step,top1_step,top5_step,epoch,val_top1,loss_epoch,top1_epoch,top5_epoch
,7499,0.5401442646980286,81.25,99.21875,19,,,,
0.10000001,7549,,,,,,,,
,7549,0.48048752546310425,84.375,98.4375,19,,,,
0.10000001,7599,,,,,,,,
,7599,0.3962922692298889,89.84375,99.21875,19,,,,
0.10000001,7649,,,,,,,,
,7649,0.3934197425842285,89.0625,99.21875,19,,,,
0.10000001,7699,,,,,,,,
,7699,0.41824421286582947,85.9375,100.0,19,,,,
0.10000001,7749,,,,,,,,
,7749,0.38589298725128174,87.5,100.0,19,,,,
0.10000001,7799,,,,,,,,
,7799,0.4642907977104187,87.5,100.0,19,,,,
,7799,,,,19,82.70232391357422,,,
,7799,,,,19,,0.4612753987312317,84.7275619506836,99.22075653076172
0.10000001,7849,,,,,,,,
,7849,0.5695174932479858,80.46875,100.0,20,,,,
0.10000001,7899,,,,,,,,
,7899,0.4896922707557678,85.9375,100.0,20,,,,
0.10000001,7949,,,,,,,,
,7949,0.45205631852149963,85.9375,100.0,20,,,,
0.10000001,7999,,,,,,,,
,7999,0.3624241352081299,87.5,100.0,20,,,,
0.10000001,8049,,,,,,,,
,8049,0.4928295612335205,79.6875,100.0,20,,,,
0.10000001,8099,,,,,,,,
,8099,0.6314367651939392,74.21875,98.4375,20,,,,
0.10000001,8149,,,,,,,,
,8149,0.491102397441864,85.9375,99.21875,20,,,,
,8189,,,,20,76.953125,,,
,8189,,,,20,,0.4609784185886383,84.67748260498047,99.22075653076172
0.10000001,8199,,,,,,,,
,8199,0.4872484505176544,84.375,100.0,21,,,,
0.10000001,8249,,,,,,,,
,8249,0.3642854690551758,89.0625,100.0,21,,,,
0.10000001,8299,,,,,,,,
,8299,0.43486905097961426,83.59375,99.21875,21,,,,
0.10000001,8349,,,,,,,,
,8349,0.527825653553009,78.90625,100.0,21,,,,
0.10000001,8399,,,,,,,,
,8399,0.5517895221710205,85.15625,99.21875,21,,,,
0.10000001,8449,,,,,,,,
,8449,0.46291443705558777,86.71875,100.0,21,,,,
0.10000001,8499,,,,,,,,
,8499,0.4831395447254181,85.15625,99.21875,21,,,,
0.10000001,8549,,,,,,,,
,8549,0.3456186056137085,85.9375,100.0,21,,,,
,8579,,,,21,80.33853912353516,,,
,8579,,,,21,,0.4546518623828888,84.9619369506836,99.14263153076172
0.10000001,8599,,,,,,,,
,8599,0.31634756922721863,89.0625,100.0,22,,,,
0.10000001,8649,,,,,,,,
,8649,0.448445200920105,82.8125,99.21875,22,,,,
0.10000001,8699,,,,,,,,
,8699,0.4984057545661926,84.375,99.21875,22,,,,
0.10000001,8749,,,,,,,,
,8749,0.511838972568512,85.15625,97.65625,22,,,,
0.10000001,8799,,,,,,,,
,8799,0.39047950506210327,89.0625,98.4375,22,,,,
0.10000001,8849,,,,,,,,
,8849,0.4134905934333801,84.375,100.0,22,,,,
0.10000001,8899,,,,,,,,
,8899,0.43879827857017517,82.03125,98.4375,22,,,,
0.10000001,8949,,,,,,,,
,8949,0.7301274538040161,76.5625,96.875,22,,,,
,8969,,,,22,80.70913696289062,,,
,8969,,,,22,,0.450283944606781,84.98397064208984,99.23277282714844
0.10000001,8999,,,,,,,,
,8999,0.5499817132949829,84.375,98.4375,23,,,,
0.10000001,9049,,,,,,,,
,9049,0.4401463270187378,86.71875,97.65625,23,,,,
0.10000001,9099,,,,,,,,
,9099,0.5204527378082275,85.15625,98.4375,23,,,,
0.10000001,9149,,,,,,,,
,9149,0.4191535413265228,84.375,98.4375,23,,,,
0.10000001,9199,,,,,,,,
,9199,0.2935575842857361,89.84375,98.4375,23,,,,
0.10000001,9249,,,,,,,,
,9249,0.49582231044769287,81.25,98.4375,23,,,,
0.10000001,9299,,,,,,,,
,9299,0.48768654465675354,84.375,100.0,23,,,,
0.10000001,9349,,,,,,,,
,9349,0.47229400277137756,85.15625,99.21875,23,,,,
,9359,,,,23,82.4619369506836,,,
,9359,,,,23,,0.444480299949646,85.2383804321289,99.24679565429688
0.10000001,9399,,,,,,,,
,9399,0.4342138171195984,82.8125,100.0,24,,,,
0.10000001,9449,,,,,,,,
,9449,0.3758406639099121,91.40625,98.4375,24,,,,
0.10000001,9499,,,,,,,,
,9499,0.37061288952827454,86.71875,100.0,24,,,,
